name,types,prerequisites,description,benefit,normal,special,goal,completion_benefit,prerequisite_feats,prerequisite_skills,prerequisite_race,suggested_traits,source
Greater Weapon Specialization,combat,"Proficiency with selected weapon, Greater Weapon Focus with selected weapon, Weapon Focus with selected weapon, Weapon Specialization with selected weapon, 12th-level fighter.",Choose one type of weapon (including unarmed strike or grapple) for which you possess the Weapon Specialization feat. Your attacks with the chosen weapon are more devastating than normal.,"You gain a +2 bonus on all damage rolls you make using the selected weapon. This bonus to damage stacks with other damage roll bonuses, including any you gain from Weapon Specialization.",,"You can gain Greater Weapon Specialization multiple times. Its effects do not stack. Each time you take the feat, it applies to a new type of weapon.",,,"Greater Weapon Focus, Weapon Focus, Weapon Specialization",,,,PFRPG Core

Heighten Spell,metamagic,,You can cast spells as if they were a higher level.,"A heightened spell has a higher spell level than normal (up to a maximum of 9th level). Unlike other metamagic feats, Heighten Spell actually increases the effective level of the spell that it modifies. All effects dependent on spell level (such as saving throw DCs and ability to penetrate a lesser globe of invulnerability) are calculated according to the heightened level. The heightened spell is as difficult to prepare and cast as a spell of its effective level.",,,,,,,,,PFRPG Core

Improved Bull Rush,combat,"Str 13, Power Attack, base attack bonus +1.",You are skilled at pushing your foes around.,"You do not provoke an attack of opportunity when performing a bull rush combat maneuver. In addition, you receive a +2 bonus on checks made to bull rush a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to bull rush you.",You provoke an attack of opportunity when performing a bull rush combat maneuver.,,,,Power Attack,,,,PFRPG Core

Improved Channel,general,Channel energy class feature.,Your channeled energy is harder to resist.,Add 2 to the DC of saving throws made to resist the effects of your channel energy ability.,,,,,,,,,PFRPG Core

Improved Counterspell,general,,You are skilled at countering the spells of others using similar spells.,"When counterspelling, you may use a spell of the same school that is one or more spell levels higher than the target spell.","Without this feat, you may counter a spell only with the same spell or with a spell specifically designated as countering the target spell.",,,,,,,,PFRPG Core

Improved Critical,combat,"Proficient with weapon, base attack bonus +8.",Attacks made with your chosen weapon are quite deadly.,"When using the weapon you selected, your threat range is doubled.",,"You can gain Improved Critical multiple times. The effects do not stack. Each time you take the feat, it applies to a new type of weapon. This effect doesn't stack with any other effect that expands the threat range of a weapon.",,,,,,,PFRPG Core

Improved Disarm,combat,"Int 13, Combat Expertise.",You are skilled at knocking weapons from a foe's grasp.,"You do not provoke an attack of opportunity when performing a disarm combat maneuver. In addition, you receive a +2 bonus on checks made to disarm a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to disarm you.",You provoke an attack of opportunity when performing a disarm combat maneuver.,,,,Combat Expertise,,,,PFRPG Core

Improved Familiar,general,"Ability to acquire a new familiar, compatible alignment, sufficiently high level (see below).","This feat allows you to acquire a powerful familiar, but only when you could normally acquire a new familiar.","When choosing a familiar, the creatures listed below are also available to you (see the Pathfinder RPG Bestiary for statistics on these creatures). You may choose a familiar with an alignment up to one step away on each alignment axis (lawful through chaotic, good through evil). Arcane Spellcaster Familiar Alignment Level Celestial hawk1 Neutral good 3rd Dire rat Neutral 3rd Fiendish viper2 Neutral evil 3rd Elemental, Small (any type) Neutral 5th Stirge Neutral 5th Homunculus3 Any 7th Imp Lawful evil 7th Mephit (any type) Neutral 7th Pseudodragon Neutral good 7th Quasit Chaotic evil 7th 1 Or other celestial animal from the standard familiar list. 2 Or other fiendish animal from the standard familiar list. 3 The master must first create the homunculus.  Improved familiars otherwise use the rules for regular familiars, with two exceptions: if the creature's type is something other than animal, its type does not change; and improved familiars do not gain the ability to speak with other creatures of their kind (although many of them already have the ability to communicate).",,,,,,,,,PFRPG Core

Improved Feint,combat,"Int 13, Combat Expertise.",You are skilled at fooling your opponents in combat.,You can make a Bluff check to feint in combat as a move action.,Feinting in combat is a standard action.,,,,Combat Expertise,,,,PFRPG Core

Improved Grapple,combat,"Dex 13, Improved Unarmed Strike.",You are skilled at grappling opponents.,"You do not provoke an attack of opportunity when performing a grapple combat maneuver. In addition, you receive a +2 bonus on checks made to grapple a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to grapple you.",You provoke an attack of opportunity when performing a grapple combat maneuver.,,,,Improved Unarmed Strike,,,,PFRPG Core

Improved Great Fortitude,general,Great Fortitude.,"You can draw upon an inner reserve to resist diseases, poisons, and other grievous harm.","Once per day, you may reroll a Fortitude save. You must decide to use this ability before the results are revealed. You must take the second roll, even if it is worse.",,,,,Great Fortitude,,,,PFRPG Core

Improved Initiative,combat,,Your quick reflexes allow you to react rapidly to danger.,You get a +4 bonus on initiative checks.,,,,,,,,,PFRPG Core

Improved Iron Will,general,Iron Will.,Your clarity of thought allows you to resist mental attacks.,"Once per day, you may reroll a Will save. You must decide to use this ability before the results are revealed. You must take the second roll, even if it is worse.",,,,,Iron Will,,,,PFRPG Core

Improved Lightning Reflexes,general,Lightning Reflexes.,You have a knack for avoiding danger all around you.,"Once per day, you may reroll a Reflex save. You must decide to use this ability before the results are revealed. You must take the second roll, even if it is worse.",,,,,Lightning Reflexes,,,,PFRPG Core

Improved Overrun,combat,"Str 13, Power Attack, base attack bonus +1.",You are skilled at running down your foes.,"You do not provoke an attack of opportunity when performing an overrun combat maneuver. In addition, you receive a +2 bonus on checks made to overrrun a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to overrun you. Targets of your overrun attempt may not choose to avoid you.",You provoke an attack of opportunity when performing an overrun combat maneuver.,,,,Power Attack,,,,PFRPG Core

Improved Precise Shot,combat,"Dex 19, Point-Blank Shot, Precise Shot, base attack bonus +11.",Your ranged attacks ignore anything but total concealment and cover.,"Your ranged attacks ignore the AC bonus granted to targets by anything less than total cover, and the miss chance granted to targets by anything less than total concealment. Total cover and total concealment provide their normal benefits against your ranged attacks.",See the normal rules on the effects of cover and concealment in Chapter 8.,,,,"Point-Blank Shot, Precise Shot",,,,PFRPG Core
